description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
6 Jah Runes -> 3 Cham Rune	1				100					7	r31,qty=6	wms						r32																													r32																													r32																													0
6 Cham Runes -> 3 Zod Rune	1				100					7	r32,qty=6	wms						r33																													r33																													r33																													0
1 Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1				100					4	helm,mag,noe	jew	r06	gpb				usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200																																																																					0
1 Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Helm	1				100					6	helm,mag,noe	jew	r06	gpb	r05	mls		usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200	ethereal	100		1	1																																																																0
1 Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1				100					4	helm,mag,eth	jew	r06	gpb				usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200	ethereal	100		1	1																																																																0
1 Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire -> Hit Power Boots	1				100					4	boot,mag,noe	jew	r08	gpb				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15																																																																					0
1 Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Boots	1				100					6	boot,mag,noe	jew	r08	gpb	r05	mls		usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15	ethereal	100		1	1																																																																0
1 Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire -> Hit Power Boots	1				100					4	boot,mag,eth	jew	r08	gpb				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15	ethereal	100		1	1																																																																0
1 Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire -> Hit Power Gloves	1				100					4	glov,mag,noe	jew	r09	gpb				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	knock			1	1																																																																					0
1 Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Gloves	1				100					6	glov,mag,noe	jew	r09	gpb	r05	mls		usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	knock			1	1	ethereal	100		1	1																																																																0
1 Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire -> Hit Power Gloves	1				100					4	glov,mag,eth	jew	r09	gpb				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	knock			1	1	ethereal	100		1	1																																																																0
1 Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire -> Hit Power Belt	1				100					4	belt,mag,noe	jew	r07	gpb				usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	dmg-to-mana			20	20																																																																					0
1 Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Belt	1				100					6	belt,mag,noe	jew	r07	gpb	r05	mls		usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	dmg-to-mana			20	20	ethereal	100		1	1																																																																0
1 Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire -> Hit Power Belt	1				100					4	belt,mag,eth	jew	r07	gpb				usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	dmg-to-mana			20	20	ethereal	100		1	1																																																																0
1 Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire -> Hit Power Shield	1				100					4	shld,mag,noe	jew	r05	gpb				usetype,crf		50	50	gethit-skill		44	5	4	block1			30	30	block			20	20																																																																					0
1 Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Shield	1				100					6	shld,mag,noe	jew	r05	gpb	r05	mls		usetype,crf		50	50	gethit-skill		44	5	4	block1			30	30	block			20	20	ethereal	100		1	1																																																																0
1 Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire -> Hit Power Shield	1				100					4	shld,mag,eth	jew	r05	gpb				usetype,crf		50	50	gethit-skill		44	5	4	block1			30	30	block			20	20	ethereal	100		1	1																																																																0
1 Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	1				100					4	tors,mag,noe	jew	r04	gpb				usetype,crf		50	50	gethit-skill		44	5	4	dmg%			35	60	balance1			30	40																																																																					0
1 Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Body	1				100					6	tors,mag,noe	jew	r04	gpb	r05	mls		usetype,crf		50	50	gethit-skill		44	5	4	dmg%			35	60	balance1			30	40	ethereal	100		1	1																																																																0
1 Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	1				100					4	tors,mag,eth	jew	r04	gpb				usetype,crf		50	50	gethit-skill		44	5	4	dmg%			35	60	balance1			30	40	ethereal	100		1	1																																																																0
1 Magic Amulet + 1 Jewel + Thul Rune + 1 Perfect Sapphire -> Hit Power Amulet	1				100					4	amul,mag	jew	r10	gpb				usetype,crf		50	50	gethit-skill		44	5	4	att			200	250	balance1			15	20																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Sapphire -> Hit Power Ring	1				100					4	ring,mag	jew	r11	gpb				usetype,crf		50	50	gethit-skill		44	5	4	dmg-max			3	5	dex			5	10																																																																					0
1 Magic Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire -> Hit Power Weapon	1				100					4	weap,mag,noe	jew	r03	gpb				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	dmg%			50	80																																																																					0
1 Magic Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Weapon	1				100					6	weap,mag,noe	jew	r03	gpb	r05	mls		usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	dmg%			50	80	ethereal	100		1	1																																																																0
1 Magic Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire -> Hit Power Weapon	1				100					4	weap,mag,eth	jew	r03	gpb				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	dmg%			50	80	ethereal	100		1	1																																																																0
1 Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1				100					4	helm,mag,noe	jew	r08	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	deadly			15	20																																																																					0
1 Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby  + 1 Eth Rune + 1 Chasi's Malus -> Blood Helm	1				100					6	helm,mag,noe	jew	r08	gpr	r05	mls		usetype,crf		50	50	lifesteal			2	4	hp			30	40	deadly			15	20	ethereal	100		1	1																																																																0
1 Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1				100					4	helm,mag,eth	jew	r08	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	deadly			15	20	ethereal	100		1	1																																																																0
1 Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	1				100					4	boot,mag,noe	jew	r05	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	heal-kill			3	6																																																																					0
1 Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby + 1 Eth Rune + 1 Chasi's Malus -> Blood Boots	1				100					6	boot,mag,noe	jew	r05	gpr	r05	mls		usetype,crf		50	50	lifesteal			2	4	hp			30	40	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	1				100					4	boot,mag,eth	jew	r05	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby -> Blood Gloves	1				100					4	glov,mag,noe	jew	r04	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	crush			5	10																																																																					0
1 Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby + 1 Eth Rune + 1 Chasi's Malus -> Blood Gloves	1				100					6	glov,mag,noe	jew	r04	gpr	r05	mls		usetype,crf		50	50	lifesteal			2	4	hp			30	40	crush			5	10	ethereal	100		1	1																																																																0
1 Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby -> Blood Gloves	1				100					4	glov,mag,eth	jew	r04	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	crush			5	10	ethereal	100		1	1																																																																0
1 Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby -> Blood Belt	1				100					4	belt,mag,noe	jew	r07	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	openwounds			15	20																																																																					0
1 Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby + 1 Eth Rune + 1 Chasi's Malus -> Blood Belt	1				100					6	belt,mag,noe	jew	r07	gpr	r05	mls		usetype,crf		50	50	lifesteal			2	4	hp			30	40	openwounds			15	20	ethereal	100		1	1																																																																0
1 Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby -> Blood Belt	1				100					4	belt,mag,eth	jew	r07	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	openwounds			15	20	ethereal	100		1	1																																																																0
1 Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby -> Blood Shield	1				100					4	shld,mag,noe	jew	r06	gpr				usetype,crf		50	50	lifesteal			3	6	hp			50	60	block			20	20																																																																					0
1 Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby + 1 Eth Rune + 1 Chasi's Malus -> Blood Shield	1				100					6	shld,mag,noe	jew	r06	gpr	r05	mls		usetype,crf		50	50	lifesteal			3	6	hp			50	60	block			20	20	ethereal	100		1	1																																																																0
1 Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby -> Blood Shield	1				100					4	shld,mag,eth	jew	r06	gpr				usetype,crf		50	50	lifesteal			3	6	hp			50	60	block			20	20	ethereal	100		1	1																																																																0
1 Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby -> Blood Body	1				100					4	tors,mag,noe	jew	r10	gpr				usetype,crf		50	50	lifesteal			3	6	hp			50	60	heal-kill			3	6																																																																					0
1 Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby + 1 Eth Rune + 1 Chasi's Malus -> Blood Body	1				100					6	tors,mag,noe	jew	r10	gpr	r05	mls		usetype,crf		50	50	lifesteal			3	6	hp			50	60	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby -> Blood Body	1				100					4	tors,mag,eth	jew	r10	gpr				usetype,crf		50	50	lifesteal			3	6	hp			50	60	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Amulet + 1 Jewel + 1 Amn Rune + 1 Perfect Ruby -> Blood Amulet	1				100					4	amul,mag	jew	r11	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	move1			10	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Ruby -> Blood Ring	1				100					4	ring,mag	jew	r12	gpr				usetype,crf		50	50	lifesteal			2	4	hp			30	40	str			5	10																																																																					0
1 Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1				100					4	weap,mag,noe	jew	r09	gpr				usetype,crf		50	50	lifesteal			3	6	hp			30	40	dmg%			50	80																																																																					0
1 Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby + 1 Eth Rune + 1 Chasi's Malus -> Blood Weapon	1				100					6	weap,mag,noe	jew	r09	gpr	r05	mls		usetype,crf		50	50	lifesteal			3	6	hp			30	40	dmg%			50	80	ethereal	100		1	1																																																																0
1 Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1				100					4	weap,mag,eth	jew	r09	gpr				usetype,crf		50	50	lifesteal			3	6	hp			30	40	dmg%			50	80	ethereal	100		1	1																																																																0
1 Magic Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1				100					4	helm,mag,noe	jew	r04	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			10	10																																																																					0
1 Magic Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Caster Helm	1				100					6	helm,mag,noe	jew	r04	gpv	r05	mls		usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			10	10	ethereal	100		1	1																																																																0
1 Magic Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1				100					4	helm,mag,eth	jew	r04	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			10	10	ethereal	100		1	1																																																																0
1 Magic Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst -> Caster Boots	1				100					4	boot,mag,noe	jew	r10	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			5	10																																																																					0
1 Magic Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Caster Boots	1				100					6	boot,mag,noe	jew	r10	gpv	r05	mls		usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			5	10	ethereal	100		1	1																																																																0
1 Magic Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst -> Caster Boots	1				100					4	boot,mag,eth	jew	r10	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			5	10	ethereal	100		1	1																																																																0
1 Magic Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst -> Caster Gloves	1				100					4	glov,mag,noe	jew	r09	gpv				usetype,crf		50	50	mana-kill			1	3	mana			10	20	cast1			10	10																																																																					0
1 Magic Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Caster Gloves	1				100					6	glov,mag,noe	jew	r09	gpv	r05	mls		usetype,crf		50	50	mana-kill			1	3	mana			10	20	cast1			10	10	ethereal	100		1	1																																																																0
1 Magic Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst -> Caster Gloves	1				100					4	glov,mag,eth	jew	r09	gpv				usetype,crf		50	50	mana-kill			1	3	mana			10	20	cast1			10	10	ethereal	100		1	1																																																																0
1 Magic Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst -> Caster Belt	1				100					4	belt,mag,noe	jew	r06	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			10	10																																																																					0
1 Magic Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Caster Belt	1				100					6	belt,mag,noe	jew	r06	gpv	r05	mls		usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			10	10	ethereal	100		1	1																																																																0
1 Magic Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst -> Caster Belt	1				100					4	belt,mag,eth	jew	r06	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			10	10	ethereal	100		1	1																																																																0
1 Magic Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst -> Caster Shield	1				100					4	shld,mag,noe	jew	r05	gpv				usetype,crf		50	50	cast1			10	10	mana			10	20	block			20	20	allskills	100		1	1																																																																0
1 Magic Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Caster Shield	1				100					6	shld,mag,noe	jew	r05,qty=2	gpv	mls			usetype,crf		50	50	cast1			15	15	mana			10	20	block			20	20	ethereal	100		1	1	allskills	100		1	1																																																											0
1 Magic Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst -> Caster Shield	1				100					4	shld,mag,eth	jew	r05	gpv				usetype,crf		50	50	cast1			15	15	mana			10	20	block			20	20	ethereal	100		1	1	allskills	100		1	1																																																											0
1 Magic Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst -> Caster Body	1				100					4	tors,mag,noe	jew	r07	gpv				usetype,crf		50	50	cast1			20	20	mana			10	20	mana-kill			5	8																																																																					0
1 Magic Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Caster Body	1				100					6	tors,mag,noe	jew	r07	gpv	r05	mls		usetype,crf		50	50	cast1			20	20	mana			10	20	mana-kill			5	8	ethereal	100		1	1																																																																0
1 Magic Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst -> Caster Body	1				100					4	tors,mag,eth	jew	r07	gpv				usetype,crf		50	50	cast1			20	20	mana			10	20	mana-kill			5	8	ethereal	100		1	1																																																																0
1 Magic Amulet + 1 Jewel + 1 Ral Rune + 1 Perfect Amethyst -> Caster Amulet	1				100					4	amul,mag	jew	r08	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Amethyst -> Caster Ring	1				100					4	ring,mag	jew	r11	gpv				usetype,crf		50	50	mana-kill			1	2	mana			10	20	enr			5	10																																																																					0
1 Magic Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	1				100					4	weap,mag,noe	jew	r03	gpv				usetype,crf		50	50	allskills			1	1	mana			10	20	cast1			10	20																																																																					0
1 Magic Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Caster Weapon	1				100					6	weap,mag,noe	jew	r03	gpv	r05	mls		usetype,crf		50	50	allskills			1	1	mana			10	20	cast1			10	20	ethereal	100		1	1																																																																0
1 Magic Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	1				100					4	weap,mag,eth	jew	r03	gpv				usetype,crf		50	50	allskills			1	1	mana			10	20	cast1			10	20	ethereal	100		1	1																																																																0
1 Magic Crown + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1				100					4	helm,mag,noe	jew	r06	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-ltng			10	20	ac%			50	60																																																																0
1 Magic Crown + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Helm	1				100					6	helm,mag,noe	jew	r06	gpg	r05	mls		usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-ltng			10	20	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Crown + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1				100					4	helm,mag,eth	jew	r06	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-ltng			10	20	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Plated Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Emerald -> Safety Boots	1				100					4	boot,mag,noe	jew	r09	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-fire			10	20	ac%			50	60																																																																0
1 Magic Plated Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Boots	1				100					6	boot,mag,noe	jew	r09	gpg	r05	mls		usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-fire			10	20	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Plated Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Emerald -> Safety Boots	1				100					4	boot,mag,eth	jew	r09	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-fire			10	20	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald -> Safety Gloves	1				100					4	glov,mag,noe	jew	r08	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-cold			10	20	ac%			10	30																																																																0
1 Magic Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Gloves	1				100					6	glov,mag,noe	jew	r08	gpg	r05	mls		usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-cold			10	20	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald -> Safety Gloves	1				100					4	glov,mag,eth	jew	r08	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-cold			10	20	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1				100					4	belt,mag,noe	jew	r07	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30																																																																0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Belt	1				100					6	belt,mag,noe	jew	r07	gpg	r05	mls		usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1				100					4	belt,mag,eth	jew	r07	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1				100					4	shld,mag,noe	jew	r04	gpg				usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60																																																																					0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Shield	1				100					6	shld,mag,noe	jew	r04	gpg	r05	mls		usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60	ethereal	100		1	1																																																																0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1				100					4	shld,mag,eth	jew	r04	gpg				usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60	ethereal	100		1	1																																																																0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1				100					4	tors,mag,noe	jew	r05	gpg				usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60																																																																0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Body	1				100					6	tors,mag,noe	jew	r05,qty=2	gpg	mls			usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1				100					4	tors,mag,eth	jew	r05	gpg				usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Amulet + 1 Jewel + 1 Thul Rune + 1 Perfect Emerald -> Safety Amulet	1				100					4	amul,mag	jew	r10	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	block			10	10	ac%			10	20																																																																0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Emerald -> Safety Ring	1				100					4	ring,mag	jew	r11	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	vit			5	10	ac%			10	20																																																																0
1 Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1				100					4	weap,mag,noe	jew	r12	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50																																																																0
1 Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Weapon	1				100					6	weap,mag,noe	jew	r12	gpg	r05	mls		usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50	ethereal	100		1	1																																																											0
1 Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1				100					4	weap,mag,eth	jew	r12	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50	ethereal	100		1	1																																																											0
1 Magic Full Helm + Power Crafting Tablet  -> Hit Power Helm	1				100					2	helm,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200																																																																					0
1 Magic Full Helm + Power Crafting Tablet  + 1 Eth Rune + 1 Chasi's Malus  -> Hit Power Helm	1				100					4	helm,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200	ethereal	100		1	1																																																																0
1 Magic Full Helm + Power Crafting Tablet  -> Hit Power Helm	1				100					2	helm,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200	ethereal	100		1	1																																																																0
1 Magic Chain Boots + Power Crafting Tablet -> Hit Power Boots	1				100					2	boot,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15																																																																					0
1 Magic Chain Boots + Power Crafting Tablet  + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Boots	1				100					4	boot,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15	ethereal	100		1	1																																																																0
1 Magic Chain Boots + Power Crafting Tablet -> Hit Power Boots	1				100					2	boot,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15	ethereal	100		1	1																																																																0
1 Magic Chain Gloves +  Power Crafting Tablet  -> Hit Power Gloves	1				100					2	glov,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	knock			1	1																																																																					0
